node_costs,computation_time_ms,instance,selected_nodes_count,total_nodes,path_length,algorithm,objective_value,base_algorithm
48326,3,TSPA,100,200,23361,GreedyCycle2Regret_w1_1_start55,71687,GreedyCycle2Regret_w1_1
48326,3,TSPA,100,200,23691,GreedyCycle2Regret_w1_1_start56,72017,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23378,GreedyCycle2Regret_w1_1_start57,71704,GreedyCycle2Regret_w1_1
48438,4,TSPA,100,200,24192,GreedyCycle2Regret_w1_1_start58,72630,GreedyCycle2Regret_w1_1
48369,4,TSPA,100,200,23578,GreedyCycle2Regret_w1_1_start59,71947,GreedyCycle2Regret_w1_1
49270,4,TSPA,100,200,23521,GreedyCycle2Regret_w1_1_start60,72791,GreedyCycle2Regret_w1_1
49390,4,TSPA,100,200,23085,GreedyCycle2Regret_w1_1_start61,72475,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23197,GreedyCycle2Regret_w1_1_start62,71523,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23180,GreedyCycle2Regret_w1_1_start63,71750,GreedyCycle2Regret_w1_1
49197,4,TSPA,100,200,23475,GreedyCycle2Regret_w1_1_start64,72672,GreedyCycle2Regret_w1_1
48422,3,TSPA,100,200,23605,GreedyCycle2Regret_w1_1_start65,72027,GreedyCycle2Regret_w1_1
49416,5,TSPA,100,200,23346,GreedyCycle2Regret_w1_1_start66,72762,GreedyCycle2Regret_w1_1
49281,4,TSPA,100,200,23364,GreedyCycle2Regret_w1_1_start67,72645,GreedyCycle2Regret_w1_1
47895,3,TSPA,100,200,23490,GreedyCycle2Regret_w1_1_start68,71385,GreedyCycle2Regret_w1_1
48837,4,TSPA,100,200,23381,GreedyCycle2Regret_w1_1_start69,72218,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23180,GreedyCycle2Regret_w1_1_start70,71750,GreedyCycle2Regret_w1_1
48528,4,TSPA,100,200,23636,GreedyCycle2Regret_w1_1_start71,72164,GreedyCycle2Regret_w1_1
48850,4,TSPA,100,200,23602,GreedyCycle2Regret_w1_1_start72,72452,GreedyCycle2Regret_w1_1
48902,4,TSPA,100,200,23554,GreedyCycle2Regret_w1_1_start73,72456,GreedyCycle2Regret_w1_1
49216,3,TSPA,100,200,23273,GreedyCycle2Regret_w1_1_start74,72489,GreedyCycle2Regret_w1_1
48528,4,TSPA,100,200,23817,GreedyCycle2Regret_w1_1_start75,72345,GreedyCycle2Regret_w1_1
49584,4,TSPA,100,200,23737,GreedyCycle2Regret_w1_1_start76,73321,GreedyCycle2Regret_w1_1
48817,4,TSPA,100,200,23752,GreedyCycle2Regret_w1_1_start77,72569,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23579,GreedyCycle2Regret_w1_1_start78,71905,GreedyCycle2Regret_w1_1
48621,4,TSPA,100,200,23680,GreedyCycle2Regret_w1_1_start79,72301,GreedyCycle2Regret_w1_1
48484,4,TSPA,100,200,23456,GreedyCycle2Regret_w1_1_start80,71940,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23304,GreedyCycle2Regret_w1_1_start81,71630,GreedyCycle2Regret_w1_1
48528,4,TSPA,100,200,23507,GreedyCycle2Regret_w1_1_start82,72035,GreedyCycle2Regret_w1_1
49419,4,TSPA,100,200,22842,GreedyCycle2Regret_w1_1_start83,72261,GreedyCycle2Regret_w1_1
48406,3,TSPA,100,200,23860,GreedyCycle2Regret_w1_1_start84,72266,GreedyCycle2Regret_w1_1
49013,4,TSPA,100,200,23540,GreedyCycle2Regret_w1_1_start85,72553,GreedyCycle2Regret_w1_1
48478,4,TSPA,100,200,23455,GreedyCycle2Regret_w1_1_start86,71933,GreedyCycle2Regret_w1_1
49389,4,TSPA,100,200,23746,GreedyCycle2Regret_w1_1_start87,73135,GreedyCycle2Regret_w1_1
49261,4,TSPA,100,200,23626,GreedyCycle2Regret_w1_1_start88,72887,GreedyCycle2Regret_w1_1
48466,4,TSPA,100,200,22742,GreedyCycle2Regret_w1_1_start89,71208,GreedyCycle2Regret_w1_1
48326,4,TSPA,100,200,23347,GreedyCycle2Regret_w1_1_start90,71673,GreedyCycle2Regret_w1_1
48957,4,TSPA,100,200,23947,GreedyCycle2Regret_w1_1_start91,72904,GreedyCycle2Regret_w1_1
48326,3,TSPA,100,200,23378,GreedyCycle2Regret_w1_1_start92,71704,GreedyCycle2Regret_w1_1
48422,4,TSPA,100,200,23286,GreedyCycle2Regret_w1_1_start93,71708,GreedyCycle2Regret_w1_1
48570,4,TSPA,100,200,23180,GreedyCycle2Regret_w1_1_start94,71750,GreedyCycle2Regret_w1_1
48805,4,TSPA,100,200,23305,GreedyCycle2Regret_w1_1_start95,72110,GreedyCycle2Regret_w1_1
